Datum;Messplatz;Fahrtrichtung;Fahrzeuge_gesamt;Verstoesse
02.11.2021;Eupener Strasse;Jahnplatz;310;17
02.11.2021;Soerser Weg;Soers;295;42
02.11.2021;Hergenrather Weg;Luetticher Strasse;192;59
02.11.2021;Joseph von Goerres Strasse;Europaplatz;555;15
03.11.2021;Karl Marx Allee;Adenauerallee;707;83
03.11.2021;Peliserkerstrasse;Juelicher Strasse;868;68
03.11.2021;Kohlscheider Strasse;Aachen;1500;1
03.11.2021;Karl Marx Allee;Friedrich Ebert Allee;794;33
03.11.2021;Luetticher Strasse;Belgien;344;20
04.11.2021;Ronheider Weg;Weisshausstrasse;187;29
04.11.2021;Am Hangeweiher;Kaiser Friedrich Allee;172;26
04.11.2021;Purweider Weg;Merowinger Strasse;419;21
04.11.2021;Freunder Strasse;Von Coels Strasse;273;10
05.11.2021;Kesselstrasse;Raerener Strasse;220;21
05.11.2021;Joseph von Goerres Strasse;Hohenzollernplatz;394;8
08.11.2021;Schlossparkstrasse;Roermonder Strasse;423;50
08.11.2021;Adalbersteinweg;Trierer Strasse;981;7
08.11.2021;Seffenter Weg;Pariser Ring;90;3
09.11.2021;Luetticher Strasse;Kelmis;322;32
09.11.2021;Trierer Strasse;Kornelimuenster;1910;8
09.11.2021;Luetticher Strasse;Stadt Mitte;1301;30
09.11.2021;Trierer Strasse;Innenstadt;1851;2
10.11.2021;Berensberger Strasse;Roermonder Strasse;387;17
10.11.2021;Krefelder Strasse;Wuerselen;639;10
10.11.2021;Schurzelter Strasse;Seffent;464;42
10.11.2021;Schleidener Strasse;Roetgen;634;28
10.11.2021;Obere Drimbornstrasse;Adenauerallee;325;34
10.11.2021;Eupener Strasse;Grenze;593;52
11.11.2021;Weisshausstrasse;Im Brockenfeld;105;31
11.11.2021;Weisshausstrasse;Salierallee;812;143
11.11.2021;Neuenhofstrasse;Madrider Ring;444;8
11.11.2021;Nirmer Strasse;Von Coels Strasse;318;11
11.11.2021;Reinhardstrasse;Trierer Strasse;223;18
11.11.2021;Ronheider Berg ;Luetticher Strasse;814;25
11.11.2021;Neuenhofstrasse;Debystrasse;514;39
12.11.2021;Karl Marx Allee;Adenauerallee;772;70
12.11.2021;Trierer Strasse;Brand;1133;77
12.11.2021;Von Coels Strasse;Stolberg;553;10
12.11.2021;Monschauer Strasse;Lichtenbusch;1205;4
12.11.2021;Kornelimuenster Weg;Hitfelderstrasse;320;8
13.11.2021;Krefelder Strasse;Wuerselen;1295;69
13.11.2021;Prager Ring;Krefelder Strasse;1809;91
14.11.2021;Krefelder Strasse;Wuerselen;477;32
14.11.2021;Vaalser Strasse;Innenstadt;1475;44
15.11.2021;Krefelder Strasse;Wuerselen;1404;29
15.11.2021;Luetticher Strasse;Belgien;258;5
15.11.2021;Horbacher Strasse;Richterrich;117;0
15.11.2021;Horbacher Strasse;Locht;62;6
15.11.2021;Nerscheider Weg;Pascalstrasse;317;13
15.11.2021;Nerscheider Weg;Aachener Strasse;379;54
16.11.2021;Aachen Muenchener Allee;Hohenstaufenallee;716;17
16.11.2021;Soerser Weg;Soers;386;40
16.11.2021;Soerser Weg;Krefelder Strasse;280;38
16.11.2021;Wuerselener Strasse;Haaren Mitte;180;15
16.11.2021;Purweider Weg;Merowinger Strasse;239;15
16.11.2021;Hochstrasse;Trierer Strasse;661;24
16.11.2021;Peliserkerstrasse;Juelicher Strasse;476;27
17.11.2021;Wilhelm Ziemons Strasse;Wolferskaul;136;6
17.11.2021;Oberforstbacher Strasse;Aachener Strasse;220;11
17.11.2021;Praemienstrasse;Schleidener Strasse;180;17
17.11.2021;Maria Theresia Allee;Luxemburger Ring;106;22
17.11.2021;Karl Marx Allee;Friedrich Ebert Allee;534;12
17.11.2021;Prager Ring;Krefelder Strasse;1795;17
18.11.2021;Schlossparkstrasse;Roermonder Strasse;329;4
18.11.2021;Am Bayerhaus;Von Coels Strasse;192;14
18.11.2021;Reinhardstrasse;Neuenhofstrasse;357;15
18.11.2021;Loehergraben;Alexianergraben;971;42
18.11.2021;Nordstrasse;Trierer Strasse;546;10
18.11.2021;Hirschgraben;Templergraben;779;93
19.11.2021;Kellershausstrasse;Kaubendenstrasse;481;20
19.11.2021;Seffenter Weg;Pariser Ring;182;21
19.11.2021;Adenauerallee;Trierer Strasse;782;5
19.11.2021;Vaalser Strasse;Niederlande;1897;40
19.11.2021;Eupener Strasse;Jahnplatz;421;32
19.11.2021;Franzstrasse;Karmeliterstrasse;843;48
20.11.2021;Trierer Strasse;Brand;958;43
20.11.2021;Eupener Strasse;Grenze;1082;71
21.11.2021;Vaalser Strasse;Innenstadt;544;18
21.11.2021;Luetticher Strasse;Belgien;577;31
22.11.2021;Vaalser Strasse;Innenstadt;1867;21
22.11.2021;Roermonder Strasse;Laurensberg;1549;70
22.11.2021;Wuerselener Strasse;Haaren Mitte;200;5
22.11.2021;Seffenter Weg;Pariser Ring;182;21
22.11.2021;Seffenter Weg;Innenstadt;310;40
22.11.2021;Luetticher Strasse;Belgien;354;10
23.11.2021;Karlsgraben;Loehergraben;307;21
23.11.2021;Krefelder Strasse;Wuerselen;1103;49
23.11.2021;Sandkaulstrasse;Komphausbadstrasse;591;23
23.11.2021;Hirschgraben;Templergraben;753;68
24.11.2021;Neuenhofstrasse;Madrider Ring;705;0
24.11.2021;Karl Marx Allee;Friedrich Ebert Allee;181;3
24.11.2021;Kronenberg;Amsterdamer Ring;134;23
24.11.2021;Franzstrasse;Karmeliterstrasse;412;44
24.11.2021;Peliserkerstrasse;Juelicher Strasse;311;24
25.11.2021;Berensberger Strasse;Roermonder Strasse;342;3
25.11.2021;Welkenrather Strasse;Vaalser Strasse;115;11
25.11.2021;Welkenrather Strasse;Vaalser Strasse;104;13
25.11.2021;Luetticher Strasse;Kelmis;431;35
26.11.2021;Raerener Strasse;Monschauer Strasse;287;36
26.11.2021;Reinhardstrasse;Trierer Strasse;487;55
26.11.2021;Bleiberger Strasse;Vaalser Strasse;140;1
26.11.2021;Juelicher Strasse;Innenstadt;991;15
29.11.2021;Wuerselener Strasse;Haaren Mitte;259;23
29.11.2021;Adenauerallee;Trierer Strasse;635;13
29.11.2021;Hanbrucher Strasse;Vaalser Strasse;135;8
29.11.2021;Huettenstrasse;Berliner Ring;561;34
30.11.2021;Obere Drimbornstrasse;Adenauerallee;196;11
30.11.2021;Hirschgraben;Templergraben;964;104
30.11.2021;Hochstrasse;Ringstrasse;417;20
30.11.2021;Karl Marx Allee;Adenauerallee;591;71
30.11.2021;Eupener Strasse;Jahnplatz;861;81
30.11.2021;Luetticher Strasse;Belgien;503;13
30.11.2021;Reinhardstrasse;Trierer Strasse;70;0
30.11.2021;Hanbrucher Strasse;Amsterdamer Ring;108;5
30.11.2021;Krefelder Strasse;Wuerselen;372;1
01.12.2021;Luetticher Strasse;Hohenstaufenallee;671;54
01.12.2021;Hirschgraben;Templergraben ;808;134
01.12.2021;Joseph von Goerres Strasse;Europaplatz;613;9
02.12.2021;Franzstrasse;Karmeliterstrasse;498;53
02.12.2021;Reinhardstrasse;Trierer Strasse;183;11
03.12.2021;Seffenter Weg;Pariser Ring;317;18
06.12.2021;Franzstrasse;Karmeliterstrasse;595;51
06.12.2021;Kornelimuenster Weg;Hitfelder Strasse;210;6
07.12.2021;Loehergraben;Alexianergraben;1031;78
07.12.2021;Kornelimuenster Weg;Hitfelder Strasse;533;19
08.12.2021;Kaiser Friedrich Allee;Bruesseler Ring;99;13
08.12.2021;Weisshausstrasse;Salierallee;519;125
08.12.2021;Kaiser Friedrich Allee;Aachen Muenchener Allee;356;48
08.12.2021;Krefelder Strasse;Innenstadt;1888;26
08.12.2021;Hergenrather Weg;Luetticher Strasse;180;55
09.12.2021;Aachen Muenchener Allee;Hohenstaufenallee;673;12
09.12.2021;Monheimsallee;Hansemannplatz;2018;360
09.12.2021;Eupener Strasse;Jahnplatz;458;32
09.12.2021;Kaiser Friedrich Allee;Bruesseler Ring;163;19
09.12.2021;Prager Ring;Krefelder Strasse;1066;20
10.12.2021;Krefelder Strasse;Wuerselen;1564;29
10.12.2021;Eupener Strasse;Salierallee;677;11
10.12.2021;Weisshausstrasse;Salierallee;361;53
10.12.2021;Koenigsberger Strasse;Graunhof;188;13
11.12.2021;Vaalser Strasse;Innenstadt;1680;27
11.12.2021;Juelicher Strasse;Innenstadt;884;14
13.12.2021;Karl Marx Allee;Friedrich Ebert Allee;635;17
13.12.2021;Krefelder Strasse;Wuerselen;1251;53
13.12.2021;Koenigsberger Strasse;Trierer Strasse;107;2
13.12.2021;Karl Marx Allee;Adenauerallee;521;39
14.12.2021;Melatener Strasse;Turmstrasse;64;9
14.12.2021;Branderhofer Weg;Adenauerallee;251;13
14.12.2021;Franzstrasse;Karmeliterstrasse;705;73
14.12.2021;Seffenter Weg;Pariser Ring;174;13
14.12.2021;Am Bayerhaus;Von Coels Strasse;133;7
15.12.2021;Ronheider Weg;Weishausstrasse;124;12
15.12.2021;Josefstrasse;Nirmerstrasse;237;7
15.12.2021;Josefstrasse;Von Coels Strasse;239;11
15.12.2021;Schleidener Strasse;Kornelimuenster;205;3
15.12.2021;Prager Ring;Krefelder Strasse;1759;34
16.12.2021;Franzstrasse;Kleinmaschierstrasse;954;120
16.12.2021;Huettenstrasse;Philippstrasse;523;73
16.12.2021;Roermonder Strasse;Laurensberg;340;0
16.12.2021;Luetticher Strasse;Belgien;821;5
16.12.2021;Soerser Weg;Krefelder Strasse;587;18
16.12.2021;Laurensberger Strasse;Rathausstrasse;92;18
17.12.2021;Krefelder Strasse;Wuerselen;1734;64
17.12.2021;Hochstrasse;Trierer Strasse;546;17
17.12.2021;Aachener Strasse;Hitfeld;555;18
17.12.2021;Praemienstrasse;Walheimer Strasse;85;4
17.12.2021;Praemienstrasse;Schleidener Strasse;171;9
17.12.2021;Sittarder Strasse;Koenigsbergerstrasse;222;18
17.12.2021;Sittarder Strasse;Schopenhauerstrasse;152;18
17.12.2021;Peliserker Strasse;Juelicher Strasse;185;13
18.12.2021;Trierer Strasse;Brand;378;19
18.12.2021;Eupener Strasse;Grenze;1386;104
19.12.2021;Vaalser Strasse;Innenstadt;544;18
19.12.2021;Luetticher Strasse;Belgien;672;26
20.12.2021;Friedenstrasse;Strangenhaeuschen;185;24
20.12.2021;Friedenstrasse;Hergelsbendenstrasse;242;14
20.12.2021;Severinstrasse;Nirmerstrasse;1655;9
20.12.2021;Luetticher Strasse;Belgien;303;5
20.12.2021;Freunder Landstrasse;Stolberg;469;3
21.12.2021;Kalkbergstrasse;Verlautenheide;306;13
21.12.2021;Krefelder Strasse;Wuerselen;1729;43
21.12.2021;Franzstrasse;Kleinmaschierstrasse;855;72
21.12.2021;Hirschgraben;Templergraben ;1051;66
22.12.2021;Berensberger Strasse;Roermonder Strasse;365;23
22.12.2021;Aureliusstrasse;Theaterstrasse;181;16
23.12.2021;Muensterstrasse;Brand;158;13
23.12.2021;Nerscheider Weg ;Monschauer Strasse;129;13
23.12.2021;Nerscheider Weg ;Schleckheim;90;15
23.12.2021;Kaiser Friedrich Allee;Bruesseler Ring;170;36
23.12.2021;Juelicher Strasse;Innenstadt;910;22
27.12.2021;Trierer Strasse;Innenstadt;1049;14
27.12.2021;Vaalser Strasse;Innenstadt;1403;22
28.12.2021;Neuenhofstrasse;Debystrasse;274;0
28.12.2021;Luetticher Strasse;Belgien;255;4
28.12.2021;Kellershaustrasse;Kaubendenstrasse;257;22
28.12.2021;Kellershaustrasse;Debystrasse;184;21
28.12.2021;Ardennenstrasse;Frennetstrasse;32;5
29.12.2021;Kornelimuenster Weg;Hitfelder Strasse;235;9
29.12.2021;Kornelimuenster Weg;Adenauerallee;492;54
29.12.2021;Prager Ring;Krefelder Strasse;1033;21
29.12.2021;Albert Einstein Strasse;Aachener Strasse;52;5
29.12.2021;Krefelder Strasse;Wuerselen;1549;79
30.12.2021;Schleidener Strasse;Kornelimuenster;271;6
30.12.2021;Praemienstrasse;Schleidener Strasse;84;6
01.10.2021;Neuenhofstrasse;Debystrasse;748;9
01.10.2021;Luetticher Strasse;Belgien;479;8
01.10.2021;Reinhardstrasse;Neuenhofstrasse;408;33
01.10.2021;Vaalser Strasse;Innenstadt;1828;16
04.10.2021;Alte Vaalser Strasse;Vaalser Strasse;1285;85
04.10.2021;Am Bayerhaus;Heckstrasse;58;9
05.10.2021;Raerener Strasse;Monschauer Strasse;262;5
05.10.2021;Alte Vaalser Strasse;Vaalser Strasse;1335;28
05.10.2021;Hergenrather Weg;Luetticher Strasse;154;54
05.10.2021;Neuenhofstrasse;Madrider Ring;360;16
06.10.2021;Hochstrasse;Trierer Strasse;592;27
06.10.2021;Eupener Strasse;Salierallee;705;73
06.10.2021;Auf der Huels;Alt Haarener Strasse;652;72
06.10.2021;Juelicher Strasse;Innenstadt;400;11
07.10.2021;Berensberger Strasse;Roermonder Strasse;415;28
07.10.2021;Schleidener Strasse;Walheim;504;27
07.10.2021;Krefelder Strasse;Innenstadt;1430;72
08.10.2021;Luetticher Strasse;Kelmis;1376;74
08.10.2021;Von Coels Strasse;Stolberg;317;9
08.10.2021;Seffenter Weg;Pariser Ring;339;38
08.10.2021;Lintertstrasse;Forst;579;22
11.10.2021;Trierer Strasse;Brand;1277;46
11.10.2021;Berensberger Strasse;Roermonder Strasse;351;40
11.10.2021;Limburger Strasse;Luetticher Strasse;358;50
11.10.2021;Limburger Strasse;Hohenstaufenallee;208;22
11.10.2021;Roermonder Strasse;Richterich;366;18
12.10.2021;Kaiser Friedrich Allee;Bruesseler Ring;326;67
12.10.2021;Juelicher Strasse;Innenstadt;437;14
12.10.2021;Trierer Strasse;Brand;1320;27
12.10.2021;Welkenrather Strasse;Vaalser Strasse;168;28
13.10.2021;Walheimer Strasse;Walheim;126;19
13.10.2021;Vaalser Strasse;Niederlande;1868;28
13.10.2021;In den Atzenbende;Friendenstrasse;96;1
13.10.2021;In den Atzenbende;Haaren;526;21
13.10.2021;Luetticher Strasse;Belgien;450;10
14.10.2021;Nerscheider Weg;Schleckheim;172;44
14.10.2021;Nerscheider Weg;Monschauer Strasse;143;8
14.10.2021;Eupener Strasse;Innenstadt;445;16
14.10.2021;Eupener Strasse;Grenze;967;40
14.10.2021;Nirmer Strasse;Kalkbergstrasse;240;11
14.10.2021;Freunder Landstrasse;Stolberg;617;41
15.10.2021;Reimser Strasse;Luetticher Strasse;76;5
15.10.2021;Schurzelter Strasse;Vaalserquartier;40;4
15.10.2021;Luetticher Strasse;Belgien;330;13
16.10.2021;Josefstrasse;Von Coels Strasse;250;24
16.10.2021;Neuenhofstrasse;Debystrasse;412;0
16.10.2021;Trierer Strasse;Brand;973;42
17.10.2021;Roermonder Strasse;Pontor;500;24
17.10.2021;Krefelder Strasse;Innenstadt;972;60
18.10.2021;Praemienstrasse;Walheimer Strasse;100;5
18.10.2021;Eilendorfer Strasse;Nordstrasse;218;14
18.10.2021;Praemienstrasse;Schleidener Strasse;131;9
18.10.2021;Eilendorfer Strasse;Freunder Landstrasse;358;11
19.10.2021;Stettiner Strasse;Krummerrueck;101;4
19.10.2021;Hermann-Loehns-Allee;Am Hangeweiher;395;40
19.10.2021;Stettiner Strasse;Grauenhof;110;8
20.10.2021;Vaalser Strasse;Innenstadt;1295;14
20.10.2021;Huettenstrasse;Philipsstrasse;280;24
20.10.2021;Huettenstrasse;Berliner Ring;627;53
21.10.2021;Raafstrasse;Oberforstbach;21;2
21.10.2021;Reinhardstrasse;Trierer Strasse;334;50
22.10.2021;Kornelimuenster Weg;Hitfelder Strasse;286;13
22.10.2021;Kornelimuenster Weg;Adenauerallee;636;24
22.10.2021;Aureliusstrasse;Theaterstrasse;194;21
22.10.2021;Aureliusstrasse;Franzstrasse;91;10
25.10.2021;Reinhardstrasse;Neuenhofstrasse;433;45
25.10.2021;Passstrasse;Juelicher Strasse;354;23
26.10.2021;Juelicher Strasse;Innenstadt;1145;6
26.10.2021;Kornelimuenster Weg;Hitfelder Strasse;324;14
26.10.2021;Eupener Strasse;Grenze;268;17
26.10.2021;Sittarder Strasse;Koenigsberger Strasse;306;21
26.10.2021;Luetticher Strasse;Kelmis;708;52
27.10.2021;Auf der Huels;Alt Haarener Strasse;574;23
27.10.2021;Vaalser Strasse;Niederlande;1360;30
27.10.2021;Raerener Strasse;Monschauer Strasse;422;57
27.10.2021;Prager Ring;Krefelder Strasse;952;18
28.10.2021;Karl Marx Allee;Friedrich Ebert Allee;1007;16
28.10.2021;Freunder Landstrasse;Stolberg;802;40
28.10.2021;Am Bayerhaus;Heckstrasse;181;10
28.10.2021;Trierer Strasse;Brand;1722;50
29.10.2021;Purweider Weg;Merowinger Strasse;270;33
29.10.2021;Kaiser Friedrich Allee;Bruesseler Ring;230;52
29.10.2021;Schurzelter Strasse;Vaalserquartier;87;4
29.10.2021;Krefelder Strasse;Wuerselen;1696;50
30.10.2021;Berensberger Strasse;Roermonder Strasse;264;34
30.10.2021;Raafstrasse;Eynatten;388;51
31.10.2021;Eupener Strasse;Grenze;1044;104
01.12.2022;Soerser Weg;Krefelder Strasse;296;38
01.12.2022;Soerser Weg;Soers;177;25
02.12.2022;Rombachstrasse;Schulzentrum;711;13
02.12.2022;Muenster Strasse;Oberforstbacher Strasse;47;4
02.12.2022;Rombachstrasse;Schwimmhalle;237;13
05.12.2022;Hochstrasse;Trierer Strasse;460;20
05.12.2022;Reinhardstrasse;Neuenhofstrasse;343;34
05.12.2022;Karl Marx Allee;Adenauerallee;343;34
06.12.2022;Kellerhausstrasse;Kaubendenstrasse;588;22
06.12.2022;Nirmer Strasse;Von Coels Strasse;253;25
07.12.2022;Luetzowstrasse;Elsassstrasse;48;13
07.12.2022;Prof Pirlett Strasse ;Mies van der Rohe Strasse;688;119
08.12.2022;Nordstrasse;Trierer Strasse;109;9
08.12.2022;Purweider Weg;Merowinger Strasse;219;25
08.12.2022;Verlautenheidener Strasse;Verlautenheide;504;1
08.12.2022;Juelicher Strasse;Haaren;568;11
08.12.2022;Prager Ring;Krefelder Strasse;1742;43
08.12.2022;Maria Theresia Allee;Luxemburger Ring;652;46
08.12.2022;Vaalser Strasse;Innenstadt;664;20
09.12.2022;Hohenstaufenallee;Limburger Strasse;806;35
09.12.2022;Kurbrunnenstrasse;Normaluhr;1573;102
09.12.2022;Krefelder Strasse;Innenstadt;2112;36
09.12.2022;Hohenstaufenallee;Luetticher Strasse;523;54
12.12.2022;Freunder Landstrasse;Stolberg;1211;21
12.12.2022;Frender Landstrasse;Trierer Strasse;877;21
12.12.2022;Raafstrasse;Eynatten;174;12
12.12.2022;Limburger Strasse;Luetticher Strasse;49;5
12.12.2022;Schagenstrasse;Rombachstrasse;383;2
12.12.2022;Eupener Strasse;Salierallee;1003;32
12.12.2022;Eupener Strasse;Jahnplatz;477;29
12.12.2022;Karl Marx Allee;Adenauerallee;887;39
12.12.2022;Vaalser Strasse;Niederlande;833;32
13.12.2022;Vaalser Strasse;Niederlande;1037;5
13.12.2022;Raerener Strasse;Sief;95;17
13.12.2022;Sittarder Strasse;Koenigsberger Strasse;362;21
13.12.2022;Schleidener Strasse;Eifel;319;7
13.12.2022;Nirmer Strasse;Kalkbergstrasse;294;18
13.12.2022;Aachen Muenchener Allee;Hohenstaufenallee;336;1
13.12.2022;Nirmer Strasse;Von Coels Strasse;324;18
13.12.2022;Neuenhofstrasse;Debyestrasse;2061;8
13.12.2022;Eupener Strasse;Grenze Belgien;414;36
13.12.2022;Sittarder Strasse;Schopenauer Strasse;217;18
14.12.2022;Wilhelm Ziemons Strasse;Wolferskaul;140;3
14.12.2022;Merowinger Strasse ;Krefelder Strasse;209;41
14.12.2022;Krefelder Strasse;Wuerselen;3931;124
14.12.2022;Weisshausstrasse;Salierallee;174;39
14.12.2022;Weisshausstrasse;Im Brockenfeld;106;24
15.12.2022;Krefelder Strasse;Wuerselen;3290;81
16.12.2022;Vaalser Strasse;Innenstadt;1553;6
16.12.2022;Kurbrunnenstrasse;Normaluhr;1457;81
16.12.2022;Trierer Strasse;Brand;1582;36
16.12.2022;Juelicher Strasse;Innenstadt;331;13
17.12.2022;Raafstrasse;Oberforstbach ;122;9
17.12.2022;Ronheider Berg;Luetticher Strasse;244;8
18.12.2022;Vaalser Strasse;Innenstadt;499;8
18.12.2022;Roermonder Strasse;Richterich;326;13
19.12.2022;Hofenbornstrasse;Huels;74;6
19.12.2022;Josefstrasse;Von Coels Strasse;427;13
19.12.2022;Freunder Landstrasse;Stolberg;498;2
19.12.2022;Trierer Strasse;Brand;608;15
19.12.2022;Loehergraben;Alexianergraben;646;9
19.12.2022;Monheimsallee;Hansemannplatz;1886;167
20.12.2022;Obere Drimbornstrasse;Adenauerallee;106;6
20.12.2022;Aachen Muenchener Allee;Hohenstaufenallee;513;36
20.12.2022;Vetschauer Weg;Laurensberger Strasse;142;11
20.12.2022;Neuenhofstrasse;Debyestrasse;232;11
20.12.2022;Nerscheider Weg;Monschauer Strasse;99;8
20.12.2022;Branderhofer Weg;Kornelimuensterweg;93;14
21.12.2022;Kornelimuensterweg;Hitfelder Strasse;248;5
21.12.2022;Himmelsleiter B258;Innenstadt;1001;17
21.12.2022;Nordstrasse;Trierer Strasse;803;35
21.12.2022;Schleidener Strasse;Kornelimuenster;109;8
21.12.2022;Praemienstrasse;Schleidener Strasse;156;1
21.12.2022;Eilendorfer Strasse;Nordstrasse;262;7
22.12.2022;Hirschgraben;Templergraben;471;38
22.12.2022;Hochstrasse;Ringstrasse;246;6
23.12.2022;Franzstrasse;Kleinmarschierstrasse;686;71
23.12.2022;Walheimer Strasse;Monschauer Strasse;97;15
22.12.2022;Ronheider Weg;Weisshausstrasse;112;18
22.12.2022;Kesselstrasse;Monschauer Strasse;109;5
23.12.2022;Seffenter Weg ;Pariser Ring;189;11
23.12.2022;Soerser Weg;Soers;162;41
27.12.2022;Hochstrasse;Trierer Strasse;473;14
27.12.2022;Adenauerallee;Trierer Strasse;365;15
27.12.2022;Seffenter Weg ;Pariser Ring;80;8
27.12.2022;Auf der Huels;Alt Haarener Strasse;188;18
28.12.2022;Raafstrasse;Oberforstbach;109;6
28.12.2022;Nonnenhofstrasse;Dueserhofstrasse;46;17
29.12.2022;Vaalser Strasse;Innenstadt;1491;19
29.12.2022;Josefstrasse;Nirmerstrasse;204;6
28.12.2022;Sittarder Strasse;Koenigsberger Strasse;321;21
28.12.2022;Neuenhofstrasse;Debyestrasse;323;25
29.12.2022;Purweider Weg;Laurensberg ;297;22
29.12.2022;Limburger Strasse;Hohenstaufenallee;48;11
30.12.2022;Ronheider Berg;Luetticher Strasse;169;8
30.12.2022;Karlstrasse;Bruehlstrasse;69;1
30.12.2022;Kaiser Friedrich Allee;Bruesseler Ring;106;19
30.12.2022;Krefelder Strasse;Wuerselen;986;53
